epoch,accuracy,loss,val_accuracy,val_loss
0,0.20258823037147522,1.6461009979248047,0.19866666197776794,1.6143884658813477
1,0.19882352650165558,1.6094655990600586,0.19866666197776794,1.6263890266418457
2,0.20305882394313812,1.6094757318496704,0.19866666197776794,1.6316560506820679
3,0.20305882394313812,1.6094460487365723,0.19866666197776794,1.6258794069290161
4,0.20305882394313812,1.6094298362731934,0.2133333384990692,1.6073452234268188
5,0.20305882394313812,1.609444499015808,0.1720000058412552,1.610012412071228
6,0.20305882394313812,1.6094169616699219,0.18266665935516357,1.6104953289031982
7,0.20305882394313812,1.609438419342041,0.18266665935516357,1.610406756401062
8,0.20305882394313812,1.6094188690185547,0.18266665935516357,1.6104793548583984
9,0.20305882394313812,1.609431505203247,0.18266665935516357,1.6104094982147217
